sport,league,confidence,shared_teams,days_apart,poly_market_id,poly_title,poly_outcome,poly_teams,poly_date,poly_url,poly_slug,poly_event_url,poly_outcomes,poly_token_ids,expiry_poly_utc,resolution_time,kalshi_event_ticker,kalshi_market_id,kalshi_title,kalshi_teams,kalshi_date,kalshi_url,expiry_kalshi_utc
Ice Hockey,NHL,high,canucks; ducks,0,1607479,canucks ducks,Canucks,Canucks; Ducks,2026-04-12,https://polymarket.com/event/nhl-van-ana-2026-04-12,nhl-van-ana-2026-04-12,https://polymarket.com/event/nhl-van-ana-2026-04-12,"[""Canucks"", ""Ducks""]","[""29446801145833071582173300815158824851300662768307760458240089361159075946820"", ""99720849444609762688340272482304908427792992336972135131891663129247459193081""]",2026-04-13,2026-04-13,KXNHLGAME-26APR12VANANA,KXNHLGAME-26APR12VANANA-VAN,Vancouver at Anaheim Winner?,Canucks; Ducks,2026-04-12,https://kalshi.com/markets/KXNHLGAME-26APR12VANANA-VAN,2026-04-27T00:00:00Z
Ice Hockey,NHL,high,panthers; rangers,0,1628290,panthers rangers,Panthers,Panthers; Rangers,2026-04-13,https://polymarket.com/event/nhl-nyr-fla-2026-04-13,nhl-nyr-fla-2026-04-13,https://polymarket.com/event/nhl-nyr-fla-2026-04-13,"[""Panthers"", ""Rangers""]","[""46858462712846634377070979105474354123800876736924030023993085943944887454117"", ""63049957603418299922110626323739662525155498756265375643115437916033069308988""]",2026-04-13,2026-04-13,KXNHLGAME-26APR13NYRFLA,KXNHLGAME-26APR13NYRFLA-FLA,New York R at Florida Winner?,Rangers; Panthers,2026-04-13,https://kalshi.com/markets/KXNHLGAME-26APR13NYRFLA-FLA,2026-04-27T23:00:00Z
Ice Hockey,NHL,high,lightning; red wings,0,1628299,lightning red wings,Lightning,Lightning; Red Wings,2026-04-13,https://polymarket.com/event/nhl-det-tb-2026-04-13,nhl-det-tb-2026-04-13,https://polymarket.com/event/nhl-det-tb-2026-04-13,"[""Lightning"", ""Red Wings""]","[""67135640354148962950343665991788473426194719802218938696818616592812360163498"", ""74792293057985277742419931832858487118909292532791900364891644582060870097736""]",2026-04-13,2026-04-13,KXNHLGAME-26APR13DETTB,KXNHLGAME-26APR13DETTB-TB,Detroit at Tampa Bay Winner?,Red Wings; Lightning,2026-04-13,https://kalshi.com/markets/KXNHLGAME-26APR13DETTB-TB,2026-04-27T23:00:00Z
Ice Hockey,NHL,high,flyers; hurricanes,0,1628308,flyers hurricanes,Flyers,Flyers; Hurricanes,2026-04-13,https://polymarket.com/event/nhl-car-phi-2026-04-13,nhl-car-phi-2026-04-13,https://polymarket.com/event/nhl-car-phi-2026-04-13,"[""Flyers"", ""Hurricanes""]","[""1828257905541086649549614920037923439229969932328059835423335969370694967797"", ""73691806463420720108096872601745766111072824966413784241532045762310193326467""]",2026-04-13,2026-04-13,KXNHLGAME-26APR13CARPHI,KXNHLGAME-26APR13CARPHI-PHI,Carolina at Philadelphia Winner?,Flyers; Hurricanes,2026-04-13,https://kalshi.com/markets/KXNHLGAME-26APR13CARPHI-PHI,2026-04-27T23:00:00Z
Ice Hockey,NHL,high,maple leafs; stars,0,1628316,maple leafs stars,Maple Leafs,Maple Leafs; Stars,2026-04-13,https://polymarket.com/event/nhl-dal-tor-2026-04-13,nhl-dal-tor-2026-04-13,https://polymarket.com/event/nhl-dal-tor-2026-04-13,"[""Maple Leafs"", ""Stars""]","[""90115817215928281676125348386951874737306828967330930838086599706155554319007"", ""102907310131826962202464604668521470934540795301998299540300773210591913279024""]",2026-04-13,2026-04-13,KXNHLGAME-26APR13DALTOR,KXNHLGAME-26APR13DALTOR-TOR,Dallas at Toronto Winner?,Maple Leafs; Stars,2026-04-13,https://kalshi.com/markets/KXNHLGAME-26APR13DALTOR-TOR,2026-04-27T23:30:00Z
Ice Hockey,NHL,high,predators; sharks,0,1628325,predators sharks,Predators,Predators; Sharks,2026-04-13,https://polymarket.com/event/nhl-sj-nsh-2026-04-13,nhl-sj-nsh-2026-04-13,https://polymarket.com/event/nhl-sj-nsh-2026-04-13,"[""Predators"", ""Sharks""]","[""73170734900779709094111671269448991501840221563653177483071934192873334013477"", ""65474629069900002843002658133064034899966467383345646106325409069913068751692""]",2026-04-14,2026-04-14,KXNHLGAME-26APR13SJNSH,KXNHLGAME-26APR13SJNSH-NSH,San Jose at Nashville Winner?,Sharks; Predators,2026-04-13,https://kalshi.com/markets/KXNHLGAME-26APR13SJNSH-NSH,2026-04-28T00:00:00Z
Ice Hockey,NHL,high,blues; wild,0,1628331,blues wild,Blues,Blues; Wild,2026-04-13,https://polymarket.com/event/nhl-min-stl-2026-04-13,nhl-min-stl-2026-04-13,https://polymarket.com/event/nhl-min-stl-2026-04-13,"[""Blues"", ""Wild""]","[""111138899019745588824985862486953049483289841380918324607655965894010117628360"", ""21229252530824813635198429921608625550024388786392010538809822427974096270653""]",2026-04-14,2026-04-14,KXNHLGAME-26APR13MINSTL,KXNHLGAME-26APR13MINSTL-STL,Minnesota at St. Louis Winner?,Wild; Blues,2026-04-13,https://kalshi.com/markets/KXNHLGAME-26APR13MINSTL-STL,2026-04-28T00:00:00Z
Ice Hockey,NHL,high,blackhawks; sabres,0,1628340,blackhawks sabres,Blackhawks,Blackhawks; Sabres,2026-04-13,https://polymarket.com/event/nhl-buf-chi-2026-04-13,nhl-buf-chi-2026-04-13,https://polymarket.com/event/nhl-buf-chi-2026-04-13,"[""Blackhawks"", ""Sabres""]","[""94013637471687249124280730003418672349759025634473824365817380263890779422613"", ""100155761058747953720081921452256575129020271933706674388047059512442772491153""]",2026-04-14,2026-04-14,KXNHLGAME-26APR13BUFCHI,KXNHLGAME-26APR13BUFCHI-CHI,Buffalo at Chicago Winner?,Blackhawks; Sabres,2026-04-13,https://kalshi.com/markets/KXNHLGAME-26APR13BUFCHI-CHI,2026-04-28T00:30:00Z
Ice Hockey,NHL,high,avalanche; oilers,0,1628349,avalanche oilers,Avalanche,Avalanche; Oilers,2026-04-13,https://polymarket.com/event/nhl-col-edm-2026-04-13,nhl-col-edm-2026-04-13,https://polymarket.com/event/nhl-col-edm-2026-04-13,"[""Avalanche"", ""Oilers""]","[""79065669341515161629509108701098002374340733661621540155149445723594801524992"", ""98236031739794985236735750096266421007525282987927802487263311154053568376400""]",2026-04-14,2026-04-14,KXNHLGAME-26APR13COLEDM,KXNHLGAME-26APR13COLEDM-COL,Colorado at Edmonton Winner?,Avalanche; Oilers,2026-04-13,https://kalshi.com/markets/KXNHLGAME-26APR13COLEDM-COL,2026-04-28T01:30:00Z
Ice Hockey,NHL,high,kings; kraken,0,1628357,kings kraken,Kings,Kings; Kraken,2026-04-13,https://polymarket.com/event/nhl-lak-sea-2026-04-13,nhl-lak-sea-2026-04-13,https://polymarket.com/event/nhl-lak-sea-2026-04-13,"[""Kings"", ""Kraken""]","[""56795230827271097904074476166393264049198950445041655110871399806832107065085"", ""22895100791240754934676030799198418827136124346853913872879675073513958538562""]",2026-04-14,2026-04-14,KXNHLGAME-26APR13LASEA,KXNHLGAME-26APR13LASEA-LA,Los Angeles at Seattle Winner?,Kings; Kraken,2026-04-13,https://kalshi.com/markets/KXNHLGAME-26APR13LASEA-LA,2026-04-28T01:30:00Z
Ice Hockey,NHL,high,golden knights; jets,0,1628365,golden knights jets,Golden Knights,Golden Knights; Jets,2026-04-13,https://polymarket.com/event/nhl-wpg-las-2026-04-13,nhl-wpg-las-2026-04-13,https://polymarket.com/event/nhl-wpg-las-2026-04-13,"[""Golden Knights"", ""Jets""]","[""100586060040218171802359559555959103397238322283130824423847285586947198532169"", ""109578294687236697569482937552598429668249120308619466091840937418942342489984""]",2026-04-14,2026-04-14,KXNHLGAME-26APR13WPGVGK,KXNHLGAME-26APR13WPGVGK-VGK,Winnipeg at Vegas Winner?,Jets; Golden Knights,2026-04-13,https://kalshi.com/markets/KXNHLGAME-26APR13WPGVGK-VGK,2026-04-28T02:00:00Z
Soccer,Premier League,high,leeds united; manchester united,0,1800049,leeds united manchester united,Yes,Leeds United; Manchester United,2026-04-13,https://polymarket.com/event/epl-mun-lee-2026-04-13-lee,epl-mun-lee-2026-04-13-lee,https://polymarket.com/event/epl-mun-lee-2026-04-13-lee,"[""Yes"", ""No""]","[""6891332970606741289335100527074286367980977023668114186582448812506868724310"", ""56124918103456673909248886239706251239271318616533325231599880683516382797585""]",2026-04-13,2026-04-13,KXEPLGAME-26APR13MUNLEE,KXEPLGAME-26APR13MUNLEE-LEE,Manchester United vs Leeds United Winner?,Manchester United; Leeds United,2026-04-13,https://kalshi.com/markets/KXEPLGAME-26APR13MUNLEE-LEE,2026-04-27T19:00:00Z
