id,venue,strategy,market,yesAsk,noAsk,bidDepth,askDepth,liquidity,profitPerDollar,numOutcomes,sumAsks,pair_id,poly_market_id,kalshi_market_id,timestamp,cost1,cost2,best_cost,best_direction,edge_raw,topBookDepthUsd,depthWithinProfitableBandUsd,edgePersistence,recentSnapshotsJson
miguel-pair-0046,KALSHI,BINARY_BUY_BOTH,will josh giddey win the 2025 2026 nba most improved player,0.0,0.01,1.0,34.372973800000004,1.0,0.987,2,0.013000000000000001,pair-0046,643672,KXMVESPORTSMULTIGAMEEXTENDED-S202620C6FCC440F-1515D834BB2,2026-02-24T21:58:29.928183Z,0.013000000000000001,0.998,0.013000000000000001,POLY_YES_KAL_NO,0.987,36.372973800000004,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.987}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.987}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.987}]"
miguel-pair-0047,KALSHI,BINARY_BUY_BOTH,will matas buzelis win the 2025 2026 nba most improved player,0.01,0.01,1.0,4.1470263,1.0,0.987,2,0.013000000000000001,pair-0047,643683,KXMVESPORTSMULTIGAMEEXTENDED-S20262722A335DC4-FA5322AA8C1,2026-02-24T21:58:29.928183Z,0.013000000000000001,1.008,0.013000000000000001,POLY_YES_KAL_NO,0.987,6.1470263,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.987}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.987}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.987}]"
miguel-pair-0016,KALSHI,BINARY_BUY_BOTH,will tyrese maxey win the 2025 2026 nba mvp,0.01,0.01,136.26919306,1463.2953014,1.0,0.986,2,0.014,pair-0016,564183,KXMVESPORTSMULTIGAMEEXTENDED-S20266CD3C225728-A79D3674E38,2026-02-24T21:58:29.928183Z,0.014,1.007,0.014,POLY_YES_KAL_NO,0.986,1600.5644944599999,136.28919306,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.986}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.986}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.986}]"
miguel-pair-0026,KALSHI,BINARY_BUY_BOTH,will austin beutner win the 2026 los angeles mayoral election,0.01,0.01,1.0,29.827247800000002,1.0,0.986,2,0.014,pair-0026,629036,KXMVESPORTSMULTIGAMEEXTENDED-S202615AD05C4662-58EED77FF06,2026-02-24T21:58:29.928183Z,0.014,1.008,0.014,POLY_YES_KAL_NO,0.986,31.827247800000002,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.986}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.986}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.986}]"
miguel-pair-0035,KALSHI,BINARY_BUY_BOTH,will luguentz dort win the 2025 2026 nba defensive player of the year,0.01,0.01,1.1814200000000001,78.2434646,1.0,0.986,2,0.014,pair-0035,643560,KXMVESPORTSMULTIGAMEEXTENDED-S2026BF31535D6B2-374B6BB1914,2026-02-24T21:58:29.928183Z,0.014,1.009,0.014,POLY_YES_KAL_NO,0.986,80.4248846,1.2014200000000002,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.986}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.986}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.986}]"
miguel-pair-0050,KALSHI,BINARY_BUY_BOTH,will desmond bane win the 2025 2026 nba clutch player of the year,0.01,0.01,1.0,13.973585900000002,1.0,0.984,2,0.016,pair-0050,643734,KXMVESPORTSMULTIGAMEEXTENDED-S2026DFCCDF3525F-B0715D20AC3,2026-02-24T21:58:29.928183Z,0.016,1.008,0.016,POLY_YES_KAL_NO,0.984,15.973585900000002,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.984}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.984}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.984}]"
miguel-pair-0003,KALSHI,BINARY_BUY_BOTH,will the san jose sharks win the 2026 nhl stanley cup,0.01,0.01,48.24334362,948.46636,1.0,0.983,2,0.017,pair-0003,553855,KXMVESPORTSMULTIGAMEEXTENDED-S202641B0FD39B28-D9234D84BCE,2026-02-24T21:58:29.928183Z,0.017,1.004,0.017,POLY_YES_KAL_NO,0.983,997.70970362,48.26334362,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.983}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.983}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.983}]"
miguel-pair-0042,KALSHI,BINARY_BUY_BOTH,will norman powell win the 2025 2026 nba sixth man of the year,0.0,0.01,4.4932,8.1671274,1.0,0.983,2,0.017,pair-0042,643629,KXMVESPORTSMULTIGAMEEXTENDED-S20265739D6445C9-3D290031DF8,2026-02-24T21:58:29.928183Z,0.017,0.998,0.017,POLY_YES_KAL_NO,0.983,13.6603274,4.513199999999999,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.983}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.983}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.983}]"
miguel-pair-0041,KALSHI,BINARY_BUY_BOTH,will nickeil alexander walker win the 2025 2026 nba sixth man of the year,0.0,0.01,1.0,23.2838949,1.0,0.982,2,0.018000000000000002,pair-0041,643623,KXMVESPORTSMULTIGAMEEXTENDED-S2026974CAFFFD5D-F86FB99326C,2026-02-24T21:58:29.928183Z,0.018000000000000002,0.998,0.018000000000000002,POLY_YES_KAL_NO,0.982,25.2838949,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.981}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.981}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.982}]"
miguel-pair-0039,KALSHI,BINARY_BUY_BOTH,will onyeka okongwu win the 2025 2026 nba sixth man of the year,0.01,0.01,1.0,20.661955400000004,1.0,0.981,2,0.019,pair-0039,643608,KXMVESPORTSMULTIGAMEEXTENDED-S20264EFF3A6DB49-DAB151016CD,2026-02-24T21:58:29.928183Z,0.019,1.008,0.019,POLY_YES_KAL_NO,0.981,22.661955400000004,1.02,1.0,"[{""timestamp"": ""2026-02-24T21:56:11.819768Z"", ""grossEdgePerDollar"": 0.981}, {""timestamp"": ""2026-02-24T21:56:56.931132Z"", ""grossEdgePerDollar"": 0.981}, {""timestamp"": ""2026-02-24T21:57:41.660690Z"", ""grossEdgePerDollar"": 0.981}]"
