pair_id,title_clean,category_tag,similarity_score,poly_market_id,poly_slug,poly_url,kalshi_market_id,kalshi_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc
1,canucks ducks,sports_fees_v2,1.0,1607479,nhl-van-ana-2026-04-12,https://polymarket.com/event/nhl-van-ana-2026-04-12,KXNHLGAME-26APR12VANANA-VAN,https://kalshi.com/markets/KXNHLGAME-26APR12VANANA-VAN,https://polymarket.com/event/nhl-van-ana-2026-04-12,"[""Canucks"", ""Ducks""]","[""29446801145833071582173300815158824851300662768307760458240089361159075946820"", ""99720849444609762688340272482304908427792992336972135131891663129247459193081""]",Canucks,2026-04-13,2026-04-27T00:00:00Z,2026-04-13
2,panthers rangers,sports_fees_v2,1.0,1628290,nhl-nyr-fla-2026-04-13,https://polymarket.com/event/nhl-nyr-fla-2026-04-13,KXNHLGAME-26APR13NYRFLA-FLA,https://kalshi.com/markets/KXNHLGAME-26APR13NYRFLA-FLA,https://polymarket.com/event/nhl-nyr-fla-2026-04-13,"[""Panthers"", ""Rangers""]","[""46858462712846634377070979105474354123800876736924030023993085943944887454117"", ""63049957603418299922110626323739662525155498756265375643115437916033069308988""]",Panthers,2026-04-13,2026-04-27T23:00:00Z,2026-04-13
3,lightning red wings,sports_fees_v2,1.0,1628299,nhl-det-tb-2026-04-13,https://polymarket.com/event/nhl-det-tb-2026-04-13,KXNHLGAME-26APR13DETTB-TB,https://kalshi.com/markets/KXNHLGAME-26APR13DETTB-TB,https://polymarket.com/event/nhl-det-tb-2026-04-13,"[""Lightning"", ""Red Wings""]","[""67135640354148962950343665991788473426194719802218938696818616592812360163498"", ""74792293057985277742419931832858487118909292532791900364891644582060870097736""]",Lightning,2026-04-13,2026-04-27T23:00:00Z,2026-04-13
4,flyers hurricanes,sports_fees_v2,1.0,1628308,nhl-car-phi-2026-04-13,https://polymarket.com/event/nhl-car-phi-2026-04-13,KXNHLGAME-26APR13CARPHI-PHI,https://kalshi.com/markets/KXNHLGAME-26APR13CARPHI-PHI,https://polymarket.com/event/nhl-car-phi-2026-04-13,"[""Flyers"", ""Hurricanes""]","[""1828257905541086649549614920037923439229969932328059835423335969370694967797"", ""73691806463420720108096872601745766111072824966413784241532045762310193326467""]",Flyers,2026-04-13,2026-04-27T23:00:00Z,2026-04-13
5,maple leafs stars,sports_fees_v2,1.0,1628316,nhl-dal-tor-2026-04-13,https://polymarket.com/event/nhl-dal-tor-2026-04-13,KXNHLGAME-26APR13DALTOR-TOR,https://kalshi.com/markets/KXNHLGAME-26APR13DALTOR-TOR,https://polymarket.com/event/nhl-dal-tor-2026-04-13,"[""Maple Leafs"", ""Stars""]","[""90115817215928281676125348386951874737306828967330930838086599706155554319007"", ""102907310131826962202464604668521470934540795301998299540300773210591913279024""]",Maple Leafs,2026-04-13,2026-04-27T23:30:00Z,2026-04-13
6,predators sharks,sports_fees_v2,1.0,1628325,nhl-sj-nsh-2026-04-13,https://polymarket.com/event/nhl-sj-nsh-2026-04-13,KXNHLGAME-26APR13SJNSH-NSH,https://kalshi.com/markets/KXNHLGAME-26APR13SJNSH-NSH,https://polymarket.com/event/nhl-sj-nsh-2026-04-13,"[""Predators"", ""Sharks""]","[""73170734900779709094111671269448991501840221563653177483071934192873334013477"", ""65474629069900002843002658133064034899966467383345646106325409069913068751692""]",Predators,2026-04-14,2026-04-28T00:00:00Z,2026-04-14
7,blues wild,sports_fees_v2,1.0,1628331,nhl-min-stl-2026-04-13,https://polymarket.com/event/nhl-min-stl-2026-04-13,KXNHLGAME-26APR13MINSTL-STL,https://kalshi.com/markets/KXNHLGAME-26APR13MINSTL-STL,https://polymarket.com/event/nhl-min-stl-2026-04-13,"[""Blues"", ""Wild""]","[""111138899019745588824985862486953049483289841380918324607655965894010117628360"", ""21229252530824813635198429921608625550024388786392010538809822427974096270653""]",Blues,2026-04-14,2026-04-28T00:00:00Z,2026-04-14
8,blackhawks sabres,sports_fees_v2,1.0,1628340,nhl-buf-chi-2026-04-13,https://polymarket.com/event/nhl-buf-chi-2026-04-13,KXNHLGAME-26APR13BUFCHI-CHI,https://kalshi.com/markets/KXNHLGAME-26APR13BUFCHI-CHI,https://polymarket.com/event/nhl-buf-chi-2026-04-13,"[""Blackhawks"", ""Sabres""]","[""94013637471687249124280730003418672349759025634473824365817380263890779422613"", ""100155761058747953720081921452256575129020271933706674388047059512442772491153""]",Blackhawks,2026-04-14,2026-04-28T00:30:00Z,2026-04-14
9,avalanche oilers,sports_fees_v2,1.0,1628349,nhl-col-edm-2026-04-13,https://polymarket.com/event/nhl-col-edm-2026-04-13,KXNHLGAME-26APR13COLEDM-COL,https://kalshi.com/markets/KXNHLGAME-26APR13COLEDM-COL,https://polymarket.com/event/nhl-col-edm-2026-04-13,"[""Avalanche"", ""Oilers""]","[""79065669341515161629509108701098002374340733661621540155149445723594801524992"", ""98236031739794985236735750096266421007525282987927802487263311154053568376400""]",Avalanche,2026-04-14,2026-04-28T01:30:00Z,2026-04-14
10,kings kraken,sports_fees_v2,1.0,1628357,nhl-lak-sea-2026-04-13,https://polymarket.com/event/nhl-lak-sea-2026-04-13,KXNHLGAME-26APR13LASEA-LA,https://kalshi.com/markets/KXNHLGAME-26APR13LASEA-LA,https://polymarket.com/event/nhl-lak-sea-2026-04-13,"[""Kings"", ""Kraken""]","[""56795230827271097904074476166393264049198950445041655110871399806832107065085"", ""22895100791240754934676030799198418827136124346853913872879675073513958538562""]",Kings,2026-04-14,2026-04-28T01:30:00Z,2026-04-14
