pair_id,title_clean,category_tag,similarity_score,poly_market_id,poly_slug,poly_url,kalshi_market_id,kalshi_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc,kalshi_t2_ticker,kalshi_tie_ticker
1,bayern munich real madrid,sports_fees_v2,1.0,negrisk_336775,ucl-bay1-rma1-2026-04-15,https://polymarket.com/event/ucl-bay1-rma1-2026-04-15,KXUCLGAME-26APR15BMURMA-BMU,https://kalshi.com/markets/KXUCLGAME-26APR15BMURMA-BMU,https://polymarket.com/event/ucl-bay1-rma1-2026-04-15,"[""FC Bayern M\u00fcnchen"", ""Real Madrid CF"", ""Draw""]","[""107968591323106278367665655742307705452190612363508117328460265642342810950484"", ""34985934504349122163706438644064229886304401109886525318152418638535591106290"", ""64322487121214510589968276237366662436986370774157017770691418289415617552960"", ""79456563578347068578028032402895744569936659193475961182719750535759482338028"", ""36838062677726979565564592701443434306640403159470038495224923510960660978525"", ""59432822966145214571583673015570417133983925638656029263002574180634107663688""]",FC Bayern München,2026-04-15,2026-04-29T19:00:00Z,2026-04-15,KXUCLGAME-26APR15BMURMA-RMA,KXUCLGAME-26APR15BMURMA-TIE
2,arsenal sporting cp,sports_fees_v2,1.0,negrisk_336777,ucl-ars-spo1-2026-04-15,https://polymarket.com/event/ucl-ars-spo1-2026-04-15,KXUCLGAME-26APR15ARSSPO-ARS,https://kalshi.com/markets/KXUCLGAME-26APR15ARSSPO-ARS,https://polymarket.com/event/ucl-ars-spo1-2026-04-15,"[""Arsenal FC"", ""Sporting CP"", ""Draw""]","[""58716066243012943827055287428440123759601648882566904628825886623836513100455"", ""12127951388585427644982692287304383988335270698595914588699930706728624066423"", ""72278702321500586306062816660441100109680841038909099888249750360815340317943"", ""12383233374306743508985482286486208919926526825485023929270680057987247988961"", ""75778671136443692926392819947057377964072194182920644422776929997915395497955"", ""45575895790754410547250551167834859993661442160759819778352439174416238809937""]",Arsenal FC,2026-04-15,2026-04-29T19:00:00Z,2026-04-15,KXUCLGAME-26APR15ARSSPO-SPO,KXUCLGAME-26APR15ARSSPO-TIE
3,aston villa bologna,sports_fees_v2,1.0,negrisk_340408,uel-ast4-bol-2026-04-16,https://polymarket.com/event/uel-ast4-bol-2026-04-16,KXUELGAME-26APR16AVLBFC-AVL,https://kalshi.com/markets/KXUELGAME-26APR16AVLBFC-AVL,https://polymarket.com/event/uel-ast4-bol-2026-04-16,"[""Aston Villa FC"", ""Bologna FC 1909"", ""Draw""]","[""20567994733602635746227063371824372364319640390245036571717580372551479171577"", ""51995486460723772483954869109934720665663026240309763481439904050693960266716"", ""53625527838965820069684633588116962821906831432977307885616398999960224320954"", ""25462494466108967387022631149793779002758041504825773708622709886735210495826"", ""27385631705435048863700212638491694428092794115288995366106708352269301524359"", ""7141328274753624419346165250922811762530375644616967256482795735457321480563""]",Aston Villa FC,2026-04-16,2026-04-30T19:00:00Z,2026-04-16,KXUELGAME-26APR16AVLBFC-BFC,KXUELGAME-26APR16AVLBFC-TIE
