pair_id,title_clean,category_tag,sport,similarity_score,poly_market_id,poly_slug,poly_url,kalshi_market_id,kalshi_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc,kalshi_t2_ticker,kalshi_tie_ticker
130,zhang lys,sports_fees_v2,Tennis,1.0,2026549,wta-zhang-lys-2026-04-21,https://polymarket.com/event/wta-zhang-lys-2026-04-21,KXWTAMATCH-26APR21ZHALYS-ZHA,https://kalshi.com/markets/KXWTAMATCH-26APR21ZHALYS-ZHA,https://polymarket.com/event/wta-zhang-lys-2026-04-21,"[""Shuai Zhang"", ""Eva Lys""]","[""12491867704614230213009938823898804830953369921863436166985721984680415528431"", ""100805566664149223884334410547753768728534253123971291661013400957975714984046""]",Shuai Zhang,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
131,krueger kenin,sports_fees_v2,Tennis,1.0,2026550,wta-krueger-kenin-2026-04-21,https://polymarket.com/event/wta-krueger-kenin-2026-04-21,KXWTAMATCH-26APR21KRUKEN-KRU,https://kalshi.com/markets/KXWTAMATCH-26APR21KRUKEN-KRU,https://polymarket.com/event/wta-krueger-kenin-2026-04-21,"[""Ashlyn Krueger"", ""Sofia Kenin""]","[""66339140840705047680701311008004400692139882846343569348338114826074674538992"", ""17974712288578397085757110338918259515221492982708692509121912951135201730866""]",Ashlyn Krueger,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
132,krueger kenin,sports_fees_v2,Tennis,1.0,2026550,wta-krueger-kenin-2026-04-21,https://polymarket.com/event/wta-krueger-kenin-2026-04-21,KXWTAMATCH-26APR21KRUKEN-KEN,https://kalshi.com/markets/KXWTAMATCH-26APR21KRUKEN-KEN,https://polymarket.com/event/wta-krueger-kenin-2026-04-21,"[""Sofia Kenin"", ""Ashlyn Krueger""]","[""17974712288578397085757110338918259515221492982708692509121912951135201730866"", ""66339140840705047680701311008004400692139882846343569348338114826074674538992""]",Sofia Kenin,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
133,ruse ruzic,sports_fees_v2,Tennis,1.0,2026551,wta-ruse-ruzic-2026-04-21,https://polymarket.com/event/wta-ruse-ruzic-2026-04-21,KXWTAMATCH-26APR21RUSRUZ-RUZ,https://kalshi.com/markets/KXWTAMATCH-26APR21RUSRUZ-RUZ,https://polymarket.com/event/wta-ruse-ruzic-2026-04-21,"[""Antonia Ruzic"", ""Gabriela Ruse""]","[""35207564038600543569405951698733977083955375171050393065706743658320698117741"", ""3401562678667626797415956744257463099101186576858517549234800620776601866841""]",Antonia Ruzic,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
134,ruse ruzic,sports_fees_v2,Tennis,1.0,2026551,wta-ruse-ruzic-2026-04-21,https://polymarket.com/event/wta-ruse-ruzic-2026-04-21,KXWTAMATCH-26APR21RUSRUZ-RUS,https://kalshi.com/markets/KXWTAMATCH-26APR21RUSRUZ-RUS,https://polymarket.com/event/wta-ruse-ruzic-2026-04-21,"[""Gabriela Ruse"", ""Antonia Ruzic""]","[""3401562678667626797415956744257463099101186576858517549234800620776601866841"", ""35207564038600543569405951698733977083955375171050393065706743658320698117741""]",Gabriela Ruse,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
135,spurs trail blazers,sports_fees_v2,Basketball,1.0,2030087,nba-por-sas-2026-04-21-1h-moneyline,https://polymarket.com/event/nba-por-sas-2026-04-21-1h-moneyline,KXNBA1HWINNER-26APR21PORSAS-SAS,https://kalshi.com/markets/KXNBA1HWINNER-26APR21PORSAS-SAS,https://polymarket.com/event/nba-por-sas-2026-04-21-1h-moneyline,"[""Spurs"", ""Trail Blazers""]","[""12328145728186494377628689525133889145158277996086118038964342651433531788135"", ""109052203354291020779270320620248251267781765654725288811414312162326710422532""]",Spurs,2026-04-22,2026-05-06T00:00:00Z,2026-04-22,,
136,trail blazers spurs,sports_fees_v2,Basketball,1.0,2030087,nba-por-sas-2026-04-21-1h-moneyline,https://polymarket.com/event/nba-por-sas-2026-04-21-1h-moneyline,KXNBA1HWINNER-26APR21PORSAS-POR,https://kalshi.com/markets/KXNBA1HWINNER-26APR21PORSAS-POR,https://polymarket.com/event/nba-por-sas-2026-04-21-1h-moneyline,"[""Trail Blazers"", ""Spurs""]","[""109052203354291020779270320620248251267781765654725288811414312162326710422532"", ""12328145728186494377628689525133889145158277996086118038964342651433531788135""]",Trail Blazers,2026-04-22,2026-05-06T00:00:00Z,2026-04-22,,
137,waltert salkova,sports_fees_v2,Tennis,1.0,2031917,wta-waltert-salkova-2026-04-21,https://polymarket.com/event/wta-waltert-salkova-2026-04-21,KXWTAMATCH-26APR21WALSAL-SAL,https://kalshi.com/markets/KXWTAMATCH-26APR21WALSAL-SAL,https://polymarket.com/event/wta-waltert-salkova-2026-04-21,"[""Dominika Salkova"", ""Simona Waltert""]","[""81684058919341081883356747861960996619130443517391591741385541814816603324167"", ""108690826850175556597876196928402330286121316665356696802254591220617980405216""]",Dominika Salkova,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
138,sakamoto gaubas,sports_fees_v2,Tennis,1.0,2031918,atp-sakamot-gaubas-2026-04-21,https://polymarket.com/event/atp-sakamot-gaubas-2026-04-21,KXATPMATCH-26APR21SAKGAU-SAK,https://kalshi.com/markets/KXATPMATCH-26APR21SAKGAU-SAK,https://polymarket.com/event/atp-sakamot-gaubas-2026-04-21,"[""Rei Sakamoto"", ""Vilius Gaubas""]","[""41713593800640415970066575043634384314673941159192346822079276734987507630141"", ""106881604871430104606343431015339962456010868577886146657257541934341600372333""]",Rei Sakamoto,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
139,sakamoto gaubas,sports_fees_v2,Tennis,1.0,2031918,atp-sakamot-gaubas-2026-04-21,https://polymarket.com/event/atp-sakamot-gaubas-2026-04-21,KXATPMATCH-26APR21SAKGAU-GAU,https://kalshi.com/markets/KXATPMATCH-26APR21SAKGAU-GAU,https://polymarket.com/event/atp-sakamot-gaubas-2026-04-21,"[""Vilius Gaubas"", ""Rei Sakamoto""]","[""106881604871430104606343431015339962456010868577886146657257541934341600372333"", ""41713593800640415970066575043634384314673941159192346822079276734987507630141""]",Vilius Gaubas,2026-04-28,2026-05-05T08:00:00Z,2026-04-28,,
