sport,league,confidence,shared_teams,days_apart,poly_market_id,poly_title,poly_outcome,poly_teams,poly_date,poly_url,poly_slug,poly_event_url,poly_outcomes,poly_token_ids,expiry_poly_utc,resolution_time,kalshi_event_ticker,kalshi_market_id,kalshi_title,kalshi_teams,kalshi_date,kalshi_url,expiry_kalshi_utc
Tennis,ATP,high,damm; rybakov,7,1871437,sarasota alex rybakov martin damm alex rybakov,Alex Rybakov,Rybakov; Damm,2026-04-13,https://polymarket.com/event/atp-rybakov-damm-2026-04-06,atp-rybakov-damm-2026-04-06,https://polymarket.com/event/atp-rybakov-damm-2026-04-06,"[""Alex Rybakov"", ""Martin Damm""]","[""78997463275298858147911713819072939556429598310293130071026804285960851052476"", ""17290368773288254374773501063742539484744364329923285432946212482809815034045""]",2026-04-13,2026-04-13,KXATPCHALLENGERMATCH-26APR06RYBDAM,KXATPCHALLENGERMATCH-26APR06RYBDAM-RYB,Will Alex Rybakov win the Rybakov vs Damm Jr : Round Of 32 match?,Rybakov; Damm,2026-04-06,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR06RYBDAM-RYB,2026-04-20T22:00:00Z
Tennis,ATP,high,kozlov; perot,7,1875577,mexico city raphael perot stefan kozlov raphael perot,Raphael Perot,Perot; Kozlov,2026-04-13,https://polymarket.com/event/atp-perot-kozlov-2026-04-06,atp-perot-kozlov-2026-04-06,https://polymarket.com/event/atp-perot-kozlov-2026-04-06,"[""Raphael Perot"", ""Stefan Kozlov""]","[""27769917283149655296228032132060050036106033577395858773724003455110270447783"", ""28122615816708668109504878575804878578381591024073037334730244495886399224068""]",2026-04-13,2026-04-13,KXATPCHALLENGERMATCH-26APR06PERKOZ,KXATPCHALLENGERMATCH-26APR06PERKOZ-PER,Will Raphael Perot win the Perot vs Kozlov : Round Of 32 match?,Perot; Kozlov,2026-04-06,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR06PERKOZ-PER,2026-04-20T21:00:00Z
Tennis,ATP,high,denolly; huesler,7,1875579,mexico city corentin denolly marc andrea huesler marc andrea huesler,Marc-Andrea Huesler,Denolly; Huesler,2026-04-13,https://polymarket.com/event/atp-denolly-huesler-2026-04-06,atp-denolly-huesler-2026-04-06,https://polymarket.com/event/atp-denolly-huesler-2026-04-06,"[""Marc-Andrea Huesler"", ""Corentin Denolly""]","[""6912840120355643216918195902041533823684297530325282542567777343489763543069"", ""97738738354315738988954735299071976004562548400911608136999513207366049414046""]",2026-04-13,2026-04-13,KXATPCHALLENGERMATCH-26APR06DENHUE,KXATPCHALLENGERMATCH-26APR06DENHUE-HUE,Will Marc-Andrea Huesler win the Denolly vs Huesler : Round Of 32 match?,Denolly; Huesler,2026-04-06,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR06DENHUE-HUE,2026-04-20T22:00:00Z
Tennis,ATP,high,clarke; soto,7,1875585,mexico city jay clarke matias soto jay clarke,Jay Clarke,Clarke; Soto,2026-04-13,https://polymarket.com/event/atp-clarke-soto-2026-04-06,atp-clarke-soto-2026-04-06,https://polymarket.com/event/atp-clarke-soto-2026-04-06,"[""Jay Clarke"", ""Matias Soto""]","[""32281331023500718159619587676956949938148661880022170801868037133568359747452"", ""34527554725666842399948047626058848359258980422221163815719174560544335634371""]",2026-04-13,2026-04-13,KXATPCHALLENGERMATCH-26APR06CLASOT,KXATPCHALLENGERMATCH-26APR06CLASOT-CLA,Will Jay Clarke win the Clarke vs Soto : Round Of 32 match?,Clarke; Soto,2026-04-06,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR06CLASOT-CLA,2026-04-20T21:00:00Z
Tennis,ATP,high,martin; napolitano,7,1875586,mexico city andres martin stefano napolitano andres martin,Andres Martin,Martin; Napolitano,2026-04-13,https://polymarket.com/event/atp-marti-napolit-2026-04-06,atp-marti-napolit-2026-04-06,https://polymarket.com/event/atp-marti-napolit-2026-04-06,"[""Andres Martin"", ""Stefano Napolitano""]","[""101653937686493455437066592222138729313196340537688748871622245946052282601646"", ""98539869831423485088111882282152316008929341341569082515091152724429341069142""]",2026-04-13,2026-04-13,KXATPCHALLENGERMATCH-26APR06MARNAP,KXATPCHALLENGERMATCH-26APR06MARNAP-MAR,Will Andres Martin win the Martin vs Napolitano : Round Of 32 match?,Martin; Napolitano,2026-04-06,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR06MARNAP-MAR,2026-04-20T22:10:00Z
Tennis,ATP,high,alujas; polmans,7,1875587,mexico city marc polmans rodrigo alujas marc polmans,Marc Polmans,Polmans; Alujas,2026-04-13,https://polymarket.com/event/atp-polmans-alujas-2026-04-06,atp-polmans-alujas-2026-04-06,https://polymarket.com/event/atp-polmans-alujas-2026-04-06,"[""Marc Polmans"", ""Rodrigo Alujas""]","[""55911394979251371231434953784379675239610753828796669178645245764414765878770"", ""8550236989662891059454296241618460886823989516428714776949250501026115057967""]",2026-04-13,2026-04-13,KXATPCHALLENGERMATCH-26APR06POLALU,KXATPCHALLENGERMATCH-26APR06POLALU-POL,Will Marc Polmans win the Polmans vs Alujas : Round Of 32 match?,Polmans; Alujas,2026-04-06,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR06POLALU-POL,2026-04-20T23:10:00Z
Tennis,ATP,high,atmane; quinn,7,1883399,rolex monte carlo masters terence atmane ethan quinn ethan quinn,Ethan Quinn,Atmane; Quinn,2026-04-14,https://polymarket.com/event/atp-atmane-quinn-2026-04-07,atp-atmane-quinn-2026-04-07,https://polymarket.com/event/atp-atmane-quinn-2026-04-07,"[""Ethan Quinn"", ""Terence Atmane""]","[""17221360619772686410334148258433725975799256083036488007911628873664962957049"", ""25778891051699826244070890419382652880132514225544283375992254688035930036224""]",2026-04-14,2026-04-14,KXATPMATCH-26APR07ATMQUI,KXATPMATCH-26APR07ATMQUI-QUI,Will Ethan Quinn win the Atmane vs Quinn : Round Of 64 match?,Atmane; Quinn,2026-04-07,https://kalshi.com/markets/KXATPMATCH-26APR07ATMQUI-QUI,2026-04-21T09:00:00Z
Tennis,ATP,high,cook; sun,7,1889393,wuning fajing sun ethan cook ethan cook,Ethan Cook,Sun; Cook,2026-04-14,https://polymarket.com/event/atp-su-cook-2026-04-07,atp-su-cook-2026-04-07,https://polymarket.com/event/atp-su-cook-2026-04-07,"[""Ethan Cook"", ""Fajing Sun""]","[""6052085906915351200834038654539468213205923172256216627336289753194109937007"", ""106234552568899300843552947189645362900291197655701889644204915739739593443594""]",2026-04-14,2026-04-14,KXATPCHALLENGERMATCH-26APR07SUNCOO,KXATPCHALLENGERMATCH-26APR07SUNCOO-COO,Will Ethan Cook win the Sun vs Cook : Round Of 32 match?,Sun; Cook,2026-04-07,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR07SUNCOO-COO,2026-04-21T04:10:00Z
Tennis,ATP,high,jones; sekulic,7,1889399,wuning maximus jones philip sekulic maximus jones,Maximus Jones,Jones; Sekulic,2026-04-14,https://polymarket.com/event/atp-jon-sekulic-2026-04-06,atp-jon-sekulic-2026-04-06,https://polymarket.com/event/atp-jon-sekulic-2026-04-06,"[""Maximus Jones"", ""Philip Sekulic""]","[""42392262016960648820341754808273362274789039485477390943634193663287538279155"", ""6813374627551269196635823331517474461533225883508579163468710742997648727420""]",2026-04-14,2026-04-14,KXATPCHALLENGERMATCH-26APR07JONSEK,KXATPCHALLENGERMATCH-26APR07JONSEK-JON,Will Maximus Jones win the Jones vs Sekulic : Round Of 32 match?,Jones; Sekulic,2026-04-07,https://kalshi.com/markets/KXATPCHALLENGERMATCH-26APR07JONSEK-JON,2026-04-21T04:10:00Z
Tennis,ATP,high,bublik; monfils,8,1886049,rolex monte carlo masters gael monfils alexander bublik alexander bublik,Alexander Bublik,Monfils; Bublik,2026-04-15,https://polymarket.com/event/atp-monfils-bublik-2026-04-08,atp-monfils-bublik-2026-04-08,https://polymarket.com/event/atp-monfils-bublik-2026-04-08,"[""Alexander Bublik"", ""Gael Monfils""]","[""41816451140503990027196130991476916847392579815702843622261819731692473657245"", ""10379792075255702535363795016440537687525448200822474968241241306990069183421""]",2026-04-15,2026-04-15,KXATPMATCH-26APR07MONBUB,KXATPMATCH-26APR07MONBUB-BUB,Will Alexander Bublik win the Monfils vs Bublik : Round Of 32 match?,Monfils; Bublik,2026-04-07,https://kalshi.com/markets/KXATPMATCH-26APR07MONBUB-BUB,2026-04-21T09:00:00Z
