timestamp,pair_id,poly_market_id,kalshi_market_id,poly_yes_ask,poly_no_ask,kal_yes_ask,kal_no_ask,poly_yes_bid,poly_no_bid,kal_yes_bid,kal_no_bid
2026-02-24T21:17:01.168876Z,pair-0001,540817,KXMVESPORTSMULTIGAMEEXTENDED-S2026FE4DFA63720-C09B1AD83CC,0.52,0.49,0.0,0.01,0.51,0.48,0.0,0.01
2026-02-24T21:17:01.168876Z,pair-0002,553831,KXMVESPORTSMULTIGAMEEXTENDED-S20266E3B5041D26-529687C9211,0.022,0.981,0.01,0.01,0.019,0.978,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0003,553855,KXMVESPORTSMULTIGAMEEXTENDED-S202641B0FD39B28-D9234D84BCE,0.007,0.994,0.01,0.01,0.006,0.993,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0004,553856,KXMVESPORTSMULTIGAMEEXTENDED-S2026EAB483FDC08-EEB106D2DB6,0.35,0.6599999999999999,0.01,0.01,0.34,0.65,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0005,553866,KXMVESPORTSMULTIGAMEEXTENDED-S2026D27F0939C58-63B6F3178C4,0.126,0.876,0.0,0.01,0.124,0.874,0.0,0.01
2026-02-24T21:17:01.168876Z,pair-0006,553867,KXMVESPORTSMULTIGAMEEXTENDED-S2026D7CF31C95CE-71A80CF3D59,0.01,0.991,0.001,0.01,0.009,0.99,0.0,0.009000000000000001
2026-02-24T21:17:01.168876Z,pair-0007,553875,KXMVESPORTSMULTIGAMEEXTENDED-S2026E5D0BD085AB-DA7194C394E,0.002,0.999,0.01,0.01,0.001,0.998,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0008,559681,KXMVESPORTSMULTIGAMEEXTENDED-S2026A48B0CF7A66-BDA3C2530D4,0.01,0.991,0.01,0.01,0.009,0.99,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0009,561366,KXMVESPORTSMULTIGAMEEXTENDED-S20260014603CFAB-D896E56920F,0.002,0.0,0.0,0.01,0.0,0.998,0.0,0.01
2026-02-24T21:17:01.168876Z,pair-0010,561370,KXMVESPORTSMULTIGAMEEXTENDED-S2026428480F2C0C-763D2645C10,0.268,0.74,0.01,0.01,0.26,0.732,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0011,564165,KXMVESPORTSMULTIGAMEEXTENDED-S2026A3D8A9FE18F-DBED7475407,0.004,0.998,0.01,0.01,0.002,0.996,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0012,564167,KXMVESPORTSMULTIGAMEEXTENDED-S20261C428C01D61-DAB39A8E26B,0.001,0.0,0.01,0.01,0.0,0.999,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0013,564169,KXMVESPORTSMULTIGAMEEXTENDED-S2026822B85EB7EC-5083E742CDE,0.003,0.998,0.01,0.01,0.002,0.997,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0014,564171,KXMVESPORTSMULTIGAMEEXTENDED-S20262FD3A57C997-BDB4EF89E2C,0.001,0.0,0.0,0.01,0.0,0.999,0.0,0.01
2026-02-24T21:17:01.168876Z,pair-0015,564175,KXMVESPORTSMULTIGAMEEXTENDED-S2026A729AB2E862-D6D2DE345AC,0.022,0.979,0.01,0.01,0.021,0.978,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0016,564183,KXMVESPORTSMULTIGAMEEXTENDED-S20266CD3C225728-A79D3674E38,0.004,0.997,0.01,0.01,0.003,0.996,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0017,564194,KXMVESPORTSMULTIGAMEEXTENDED-S202624BE0F3F655-7BCDFFC0671,0.24,0.77,0.01,0.01,0.23,0.76,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0018,566139,KXMVESPORTSMULTIGAMEEXTENDED-S2026E66F3A73597-B68003FE7F4,0.08,0.9299999999999999,0.0,0.01,0.07,0.92,0.0,0.01
2026-02-24T21:17:01.168876Z,pair-0019,566188,KXMVESPORTSMULTIGAMEEXTENDED-S20261C0B9B24F84-48158D53369,0.37,0.64,0.01,0.01,0.36,0.63,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0020,566233,KXMVESPORTSMULTIGAMEEXTENDED-S20268E197123E9A-D65F0EF32E0,0.002,0.999,0.0,0.01,0.001,0.998,0.0,0.01
2026-02-24T21:17:01.168876Z,pair-0021,569340,KXMVESPORTSMULTIGAMEEXTENDED-S2026F0FEBF09EAB-F074159F0EC,0.016,0.995,0.0,0.01,0.005,0.984,0.0,0.01
2026-02-24T21:17:01.168876Z,pair-0022,572110,KXMVESPORTSMULTIGAMEEXTENDED-S2026CCA7AC539E4-E41DCF9FD03,0.079,0.937,0.01,0.01,0.063,0.921,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0023,572111,KXMVESPORTSMULTIGAMEEXTENDED-S2026A4066646D42-28EAC03A919,0.003,0.999,0.0,0.01,0.001,0.997,0.0,0.01
2026-02-24T21:17:01.168876Z,pair-0024,599354,KXMVESPORTSMULTIGAMEEXTENDED-S2026BAC68D9E21E-ACE5457F8D3,0.83,0.18000000000000005,0.01,0.01,0.82,0.17000000000000004,0.0,0.0
2026-02-24T21:17:01.168876Z,pair-0025,601984,KXMVESPORTSMULTIGAMEEXTENDED-S2026C3FD29CB5B6-B2372072844,0.18,0.84,0.0,0.01,0.16,0.8200000000000001,0.0,0.01
2026-02-24T21:54:18.551985Z,pair-0001,540817,KXMVESPORTSMULTIGAMEEXTENDED-S2026FE4DFA63720-C09B1AD83CC,0.52,0.49,0.0,0.01,0.51,0.48,0.0,0.01
2026-02-24T21:54:18.551985Z,pair-0002,553831,KXMVESPORTSMULTIGAMEEXTENDED-S20266E3B5041D26-529687C9211,0.022,0.981,0.01,0.01,0.019,0.978,0.0,0.0
2026-02-24T21:54:18.551985Z,pair-0003,553855,KXMVESPORTSMULTIGAMEEXTENDED-S202641B0FD39B28-D9234D84BCE,0.007,0.994,0.01,0.01,0.006,0.993,0.0,0.0
2026-02-24T21:54:18.551985Z,pair-0004,553856,KXMVESPORTSMULTIGAMEEXTENDED-S2026EAB483FDC08-EEB106D2DB6,0.35,0.6599999999999999,0.01,0.01,0.34,0.65,0.0,0.0
2026-02-24T21:54:18.551985Z,pair-0005,553866,KXMVESPORTSMULTIGAMEEXTENDED-S2026D27F0939C58-63B6F3178C4,0.126,0.876,0.0,0.01,0.124,0.874,0.0,0.01
2026-02-24T21:54:18.551985Z,pair-0006,553867,KXMVESPORTSMULTIGAMEEXTENDED-S2026D7CF31C95CE-71A80CF3D59,0.01,0.991,0.01,0.01,0.009,0.99,0.0,0.0
2026-02-24T21:54:18.551985Z,pair-0007,553875,KXMVESPORTSMULTIGAMEEXTENDED-S2026E5D0BD085AB-DA7194C394E,0.002,0.999,0.01,0.01,0.001,0.998,0.0,0.0
2026-02-24T21:54:18.551985Z,pair-0008,559681,KXMVESPORTSMULTIGAMEEXTENDED-S2026A48B0CF7A66-BDA3C2530D4,0.01,0.991,0.01,0.01,0.009,0.99,0.0,0.0
2026-02-24T21:54:18.551985Z,pair-0009,561366,KXMVESPORTSMULTIGAMEEXTENDED-S20260014603CFAB-D896E56920F,0.002,0.0,0.0,0.01,0.0,0.998,0.0,0.01
2026-02-24T21:54:18.551985Z,pair-0010,561370,KXMVESPORTSMULTIGAMEEXTENDED-S2026428480F2C0C-763D2645C10,0.268,0.74,0.01,0.01,0.26,0.732,0.0,0.0
