sport,league,confidence,shared_teams,days_apart,poly_market_id,poly_title,poly_outcome,poly_teams,poly_date,poly_url,poly_slug,poly_event_url,poly_outcomes,poly_token_ids,expiry_poly_utc,resolution_time,kalshi_event_ticker,kalshi_market_id,kalshi_outcome,kalshi_title,kalshi_teams,kalshi_date,kalshi_url,expiry_kalshi_utc,kalshi_t2_ticker,kalshi_tie_ticker
Soccer,Premier League,high,brentford; fulham,0,1872701,brentford fulham,Yes,Brentford; Fulham,2026-04-18,https://polymarket.com/event/epl-bre-ful-2026-04-18-btts,epl-bre-ful-2026-04-18-btts,https://polymarket.com/event/epl-bre-ful-2026-04-18-btts,"[""Yes"", ""No""]","[""91502353245140577395779959771045488217334875493680939488756659692946688118168"", ""105826761827963405772733531293524314696120752283142437571147536869620459348115""]",2026-04-18,2026-04-18,KXEPLBTTS-26APR18BREFUL,KXEPLBTTS-26APR18BREFUL,,Fulham at Brentford: Both Teams to Score,Fulham; Brentford,2026-04-18,https://kalshi.com/markets/KXEPLBTTS-26APR18BREFUL,2026-05-02T11:30:00Z,,
Esports,LoL,high,jd gaming; weibo gaming,0,1935678,jd gaming weibo gaming,JD Gaming,JD Gaming; Weibo Gaming,2026-04-18,https://polymarket.com/event/lol-wb-jdg-2026-04-18,lol-wb-jdg-2026-04-18,https://polymarket.com/event/lol-wb-jdg-2026-04-18,"[""JD Gaming"", ""Weibo Gaming""]","[""97369217440676629299033681443917341980874956787041357469896825624937501771398"", ""62224239131664222378664168119871222230528190885379325571582109058922935339958""]",2026-04-18,2026-04-18,KXLOLGAME-26APR180700JDGWB,KXLOLGAME-26APR180700JDGWB-JDG,JD Gaming,Will JD Gaming win the JD Gaming vs. Weibo Gaming League of Legends match?,JD Gaming; Weibo Gaming,2026-04-18,https://kalshi.com/markets/KXLOLGAME-26APR180700JDGWB-JDG,2026-05-02T11:00:00Z,,
Esports,LoL,high,jd gaming; weibo gaming,0,1935678,weibo gaming jd gaming,Weibo Gaming,Weibo Gaming; JD Gaming,2026-04-18,https://polymarket.com/event/lol-wb-jdg-2026-04-18,lol-wb-jdg-2026-04-18,https://polymarket.com/event/lol-wb-jdg-2026-04-18,"[""Weibo Gaming"", ""JD Gaming""]","[""62224239131664222378664168119871222230528190885379325571582109058922935339958"", ""97369217440676629299033681443917341980874956787041357469896825624937501771398""]",2026-04-18,2026-04-18,KXLOLMAP-26APR180700JDGWB-1,KXLOLMAP-26APR180700JDGWB-1-WB,Weibo Gaming,Will Weibo Gaming win map 1 in the JD Gaming vs. Weibo Gaming match?,JD Gaming; Weibo Gaming,2026-04-18,https://kalshi.com/markets/KXLOLMAP-26APR180700JDGWB-1-WB,2026-05-02T11:00:00Z,,
Cricket,IPL,high,gujarat titans; kolkata knight riders,0,negrisk_364726,gujarat titans kolkata knight riders,GUJ,Gujarat Titans; Kolkata Knight Riders,2026-04-17,https://polymarket.com/event/cricipl-guj-kol-2026-04-17-toss-match-double,cricipl-guj-kol-2026-04-17-toss-match-double,https://polymarket.com/event/cricipl-guj-kol-2026-04-17-toss-match-double,"[""GUJ"", ""KOL"", ""Draw""]","[""70083996444277978507280556774170565849851347243354378753738377385647814490608"", ""50994113975369629671164939324284352447257393603198348965419082378995326315028"", ""73855512144030986931703368251114486397142569110814219120584770186122357906332"", ""28509269986357150047954491135855588556422456018149177718467379420240033538435"", ""82096017495748487882474514702541765428419816455100929046035276578690916891592"", ""72768394101341222591787935401521038040724891806680857232991996871286114944869""]",2026-04-24,2026-04-24,KXIPLGAME-26APR17KKRGT,KXIPLGAME-26APR17KKRGT-GT,,Gujarat Titans vs Kolkata Knight Riders Winner?,Gujarat Titans; Kolkata Knight Riders,2026-04-17,https://kalshi.com/markets/KXIPLGAME-26APR17KKRGT-GT,2026-04-20T14:00:00Z,,
Baseball,KBO,high,doosan bears; kia tigers,0,1958035,doosan bears kia tigers,Doosan Bears,Doosan Bears; Kia Tigers,2026-04-18,https://polymarket.com/event/kbo-kia-doo-2026-04-18,kbo-kia-doo-2026-04-18,https://polymarket.com/event/kbo-kia-doo-2026-04-18,"[""Doosan Bears"", ""Kia Tigers""]","[""91421122714883459474114926837624967661611506064055443911427191906496290560815"", ""37424088146473211112402530723917440276002195356418616835024538624152172139688""]",2026-04-25,2026-04-25,KXKBOGAME-26APR180400KIADOO,KXKBOGAME-26APR180400KIADOO-DOO,Doosan Bears,Kia Tigers vs Doosan Bears winner?,Kia Tigers; Doosan Bears,2026-04-18,https://kalshi.com/markets/KXKBOGAME-26APR180400KIADOO-DOO,2026-04-21T08:00:00Z,,
Baseball,KBO,high,doosan bears; kia tigers,0,1958035,kia tigers doosan bears,Kia Tigers,Kia Tigers; Doosan Bears,2026-04-18,https://polymarket.com/event/kbo-kia-doo-2026-04-18,kbo-kia-doo-2026-04-18,https://polymarket.com/event/kbo-kia-doo-2026-04-18,"[""Kia Tigers"", ""Doosan Bears""]","[""37424088146473211112402530723917440276002195356418616835024538624152172139688"", ""91421122714883459474114926837624967661611506064055443911427191906496290560815""]",2026-04-25,2026-04-25,KXKBOGAME-26APR180400KIADOO,KXKBOGAME-26APR180400KIADOO-KIA,Kia Tigers,Kia Tigers vs Doosan Bears winner?,Kia Tigers; Doosan Bears,2026-04-18,https://kalshi.com/markets/KXKBOGAME-26APR180400KIADOO-KIA,2026-04-21T08:00:00Z,,
Baseball,KBO,high,hanwha eagles; lotte giants,0,1946704,hanwha eagles lotte giants,Hanwha Eagles,Hanwha Eagles; Lotte Giants,2026-04-17,https://polymarket.com/event/kbo-han-lot-2026-04-17,kbo-han-lot-2026-04-17,https://polymarket.com/event/kbo-han-lot-2026-04-17,"[""Hanwha Eagles"", ""Lotte Giants""]","[""110386678838740406343639115867405979834068188990239719268747569321239587202156"", ""31848936136888444092532112928429722345867014878589018472084320539489860656351""]",2026-04-24,2026-04-24,KXKBOGAME-26APR170530HANLOT,KXKBOGAME-26APR170530HANLOT-HAN,Hanwha Eagles,Hanwha Eagles vs Lotte Giants winner?,Hanwha Eagles; Lotte Giants,2026-04-17,https://kalshi.com/markets/KXKBOGAME-26APR170530HANLOT-HAN,2026-04-20T14:00:00Z,,
Baseball,KBO,high,hanwha eagles; lotte giants,0,1946704,lotte giants hanwha eagles,Lotte Giants,Lotte Giants; Hanwha Eagles,2026-04-17,https://polymarket.com/event/kbo-han-lot-2026-04-17,kbo-han-lot-2026-04-17,https://polymarket.com/event/kbo-han-lot-2026-04-17,"[""Lotte Giants"", ""Hanwha Eagles""]","[""31848936136888444092532112928429722345867014878589018472084320539489860656351"", ""110386678838740406343639115867405979834068188990239719268747569321239587202156""]",2026-04-24,2026-04-24,KXKBOGAME-26APR170530HANLOT,KXKBOGAME-26APR170530HANLOT-LOT,Lotte Giants,Hanwha Eagles vs Lotte Giants winner?,Hanwha Eagles; Lotte Giants,2026-04-17,https://kalshi.com/markets/KXKBOGAME-26APR170530HANLOT-LOT,2026-04-20T14:00:00Z,,
Baseball,KBO,high,hanwha eagles; lotte giants,0,1958036,hanwha eagles lotte giants,Hanwha Eagles,Hanwha Eagles; Lotte Giants,2026-04-18,https://polymarket.com/event/kbo-han-lot-2026-04-18,kbo-han-lot-2026-04-18,https://polymarket.com/event/kbo-han-lot-2026-04-18,"[""Hanwha Eagles"", ""Lotte Giants""]","[""70803235682612048985327286729605303652442179194057067281802726950819329471911"", ""34408964803357230859789764461385826108747311729841203271811350991582302194177""]",2026-04-25,2026-04-25,KXKBOGAME-26APR180400HANLOT,KXKBOGAME-26APR180400HANLOT-HAN,Hanwha Eagles,Hanwha Eagles vs Lotte Giants winner?,Hanwha Eagles; Lotte Giants,2026-04-18,https://kalshi.com/markets/KXKBOGAME-26APR180400HANLOT-HAN,2026-04-21T08:00:00Z,,
Baseball,KBO,high,hanwha eagles; lotte giants,0,1958036,lotte giants hanwha eagles,Lotte Giants,Lotte Giants; Hanwha Eagles,2026-04-18,https://polymarket.com/event/kbo-han-lot-2026-04-18,kbo-han-lot-2026-04-18,https://polymarket.com/event/kbo-han-lot-2026-04-18,"[""Lotte Giants"", ""Hanwha Eagles""]","[""34408964803357230859789764461385826108747311729841203271811350991582302194177"", ""70803235682612048985327286729605303652442179194057067281802726950819329471911""]",2026-04-25,2026-04-25,KXKBOGAME-26APR180400HANLOT,KXKBOGAME-26APR180400HANLOT-LOT,Lotte Giants,Hanwha Eagles vs Lotte Giants winner?,Hanwha Eagles; Lotte Giants,2026-04-18,https://kalshi.com/markets/KXKBOGAME-26APR180400HANLOT-LOT,2026-04-21T08:00:00Z,,
Baseball,KBO,high,lg twins; samsung lions,0,1946705,lg twins samsung lions,LG Twins,LG Twins; Samsung Lions,2026-04-17,https://polymarket.com/event/kbo-lg-sam-2026-04-17,kbo-lg-sam-2026-04-17,https://polymarket.com/event/kbo-lg-sam-2026-04-17,"[""LG Twins"", ""Samsung Lions""]","[""73264274384275183970194089567930647186186078748652915800211281519357908699020"", ""5453055127928413664776272888393424837129102193312225175994504522471149136031""]",2026-04-24,2026-04-24,KXKBOGAME-26APR170530LGSAM,KXKBOGAME-26APR170530LGSAM-LG,LG Twins,LG Twins vs Samsung Lions winner?,LG Twins; Samsung Lions,2026-04-17,https://kalshi.com/markets/KXKBOGAME-26APR170530LGSAM-LG,2026-04-20T14:00:00Z,,
Baseball,KBO,high,lg twins; samsung lions,0,1946705,samsung lions lg twins,Samsung Lions,Samsung Lions; LG Twins,2026-04-17,https://polymarket.com/event/kbo-lg-sam-2026-04-17,kbo-lg-sam-2026-04-17,https://polymarket.com/event/kbo-lg-sam-2026-04-17,"[""Samsung Lions"", ""LG Twins""]","[""5453055127928413664776272888393424837129102193312225175994504522471149136031"", ""73264274384275183970194089567930647186186078748652915800211281519357908699020""]",2026-04-24,2026-04-24,KXKBOGAME-26APR170530LGSAM,KXKBOGAME-26APR170530LGSAM-SAM,Samsung Lions,LG Twins vs Samsung Lions winner?,LG Twins; Samsung Lions,2026-04-17,https://kalshi.com/markets/KXKBOGAME-26APR170530LGSAM-SAM,2026-04-20T14:00:00Z,,
Baseball,KBO,high,lg twins; samsung lions,0,1958034,lg twins samsung lions,LG Twins,LG Twins; Samsung Lions,2026-04-18,https://polymarket.com/event/kbo-lg-sam-2026-04-18,kbo-lg-sam-2026-04-18,https://polymarket.com/event/kbo-lg-sam-2026-04-18,"[""LG Twins"", ""Samsung Lions""]","[""4157076370003073897563866011152047519385291666621370148069010241861264595064"", ""108357681521970380956895003400648601204461196557945495824081142845503661911361""]",2026-04-25,2026-04-25,KXKBOGAME-26APR180100LGSAM,KXKBOGAME-26APR180100LGSAM-LG,LG Twins,LG Twins vs Samsung Lions winner?,LG Twins; Samsung Lions,2026-04-18,https://kalshi.com/markets/KXKBOGAME-26APR180100LGSAM-LG,2026-04-21T05:00:00Z,,
Baseball,KBO,high,lg twins; samsung lions,0,1958034,samsung lions lg twins,Samsung Lions,Samsung Lions; LG Twins,2026-04-18,https://polymarket.com/event/kbo-lg-sam-2026-04-18,kbo-lg-sam-2026-04-18,https://polymarket.com/event/kbo-lg-sam-2026-04-18,"[""Samsung Lions"", ""LG Twins""]","[""108357681521970380956895003400648601204461196557945495824081142845503661911361"", ""4157076370003073897563866011152047519385291666621370148069010241861264595064""]",2026-04-25,2026-04-25,KXKBOGAME-26APR180100LGSAM,KXKBOGAME-26APR180100LGSAM-SAM,Samsung Lions,LG Twins vs Samsung Lions winner?,LG Twins; Samsung Lions,2026-04-18,https://kalshi.com/markets/KXKBOGAME-26APR180100LGSAM-SAM,2026-04-21T05:00:00Z,,
Baseball,KBO,high,nc dinos; ssg landers,0,1946706,nc dinos ssg landers,NC Dinos,NC Dinos; SSG Landers,2026-04-17,https://polymarket.com/event/kbo-ssg-nc-2026-04-17,kbo-ssg-nc-2026-04-17,https://polymarket.com/event/kbo-ssg-nc-2026-04-17,"[""NC Dinos"", ""SSG Landers""]","[""93699083474463064735260371044594096503340581553612282130765837626865728276417"", ""32583251748804599110085615021093199795647478591784664506395928985289303903771""]",2026-04-24,2026-04-24,KXKBOGAME-26APR170530SSGNCD,KXKBOGAME-26APR170530SSGNCD-NCD,NC Dinos,SSG Landers vs NC Dinos winner?,SSG Landers; NC Dinos,2026-04-17,https://kalshi.com/markets/KXKBOGAME-26APR170530SSGNCD-NCD,2026-04-20T14:00:00Z,,
Baseball,KBO,high,nc dinos; ssg landers,0,1946706,ssg landers nc dinos,SSG Landers,SSG Landers; NC Dinos,2026-04-17,https://polymarket.com/event/kbo-ssg-nc-2026-04-17,kbo-ssg-nc-2026-04-17,https://polymarket.com/event/kbo-ssg-nc-2026-04-17,"[""SSG Landers"", ""NC Dinos""]","[""32583251748804599110085615021093199795647478591784664506395928985289303903771"", ""93699083474463064735260371044594096503340581553612282130765837626865728276417""]",2026-04-24,2026-04-24,KXKBOGAME-26APR170530SSGNCD,KXKBOGAME-26APR170530SSGNCD-SSG,SSG Landers,SSG Landers vs NC Dinos winner?,SSG Landers; NC Dinos,2026-04-17,https://kalshi.com/markets/KXKBOGAME-26APR170530SSGNCD-SSG,2026-04-20T14:00:00Z,,
Baseball,KBO,high,nc dinos; ssg landers,0,1958037,nc dinos ssg landers,NC Dinos,NC Dinos; SSG Landers,2026-04-18,https://polymarket.com/event/kbo-ssg-nc-2026-04-18,kbo-ssg-nc-2026-04-18,https://polymarket.com/event/kbo-ssg-nc-2026-04-18,"[""NC Dinos"", ""SSG Landers""]","[""88680599681123314291951479548616276060618585881455090108456948698532016660127"", ""41075861864383999555332198006182953572865698271387348548495904454865555879736""]",2026-04-25,2026-04-25,KXKBOGAME-26APR180400SSGNCD,KXKBOGAME-26APR180400SSGNCD-NCD,NC Dinos,SSG Landers vs NC Dinos winner?,SSG Landers; NC Dinos,2026-04-18,https://kalshi.com/markets/KXKBOGAME-26APR180400SSGNCD-NCD,2026-04-21T08:00:00Z,,
Baseball,KBO,high,nc dinos; ssg landers,0,1958037,ssg landers nc dinos,SSG Landers,SSG Landers; NC Dinos,2026-04-18,https://polymarket.com/event/kbo-ssg-nc-2026-04-18,kbo-ssg-nc-2026-04-18,https://polymarket.com/event/kbo-ssg-nc-2026-04-18,"[""SSG Landers"", ""NC Dinos""]","[""41075861864383999555332198006182953572865698271387348548495904454865555879736"", ""88680599681123314291951479548616276060618585881455090108456948698532016660127""]",2026-04-25,2026-04-25,KXKBOGAME-26APR180400SSGNCD,KXKBOGAME-26APR180400SSGNCD-SSG,SSG Landers,SSG Landers vs NC Dinos winner?,SSG Landers; NC Dinos,2026-04-18,https://kalshi.com/markets/KXKBOGAME-26APR180400SSGNCD-SSG,2026-04-21T08:00:00Z,,
Baseball,MLB,high,cubs; mets,0,1946758,cubs mets,Chicago Cubs,Cubs; Mets,2026-04-17,https://polymarket.com/event/mlb-nym-chc-2026-04-17,mlb-nym-chc-2026-04-17,https://polymarket.com/event/mlb-nym-chc-2026-04-17,"[""Chicago Cubs"", ""New York Mets""]","[""58348072330782956549129058539279159068300507306318511384859969998021699400593"", ""74565034912220928681209180214340169962168318496648746492037064102004237400014""]",2026-04-24,2026-04-24,KXMLBGAME-26APR171420NYMCHC,KXMLBGAME-26APR171420NYMCHC-CHC,Cubs,New York M vs Chicago C Winner?,Mets; Cubs,2026-04-17,https://kalshi.com/markets/KXMLBGAME-26APR171420NYMCHC-CHC,2026-04-20T14:00:00Z,,
Baseball,MLB,high,cubs; mets,0,1946758,mets cubs,New York Mets,Mets; Cubs,2026-04-17,https://polymarket.com/event/mlb-nym-chc-2026-04-17,mlb-nym-chc-2026-04-17,https://polymarket.com/event/mlb-nym-chc-2026-04-17,"[""New York Mets"", ""Chicago Cubs""]","[""74565034912220928681209180214340169962168318496648746492037064102004237400014"", ""58348072330782956549129058539279159068300507306318511384859969998021699400593""]",2026-04-24,2026-04-24,KXMLBGAME-26APR171420NYMCHC,KXMLBGAME-26APR171420NYMCHC-NYM,Mets,New York M vs Chicago C Winner?,Mets; Cubs,2026-04-17,https://kalshi.com/markets/KXMLBGAME-26APR171420NYMCHC-NYM,2026-04-20T14:00:00Z,,
Baseball,MLB,high,cubs; mets,0,1958047,cubs mets,Chicago Cubs,Cubs; Mets,2026-04-18,https://polymarket.com/event/mlb-nym-chc-2026-04-18,mlb-nym-chc-2026-04-18,https://polymarket.com/event/mlb-nym-chc-2026-04-18,"[""Chicago Cubs"", ""New York Mets""]","[""60967612972327772035005776129837017797273151786396677282064515645084178092689"", ""81248634727649318467591272713257103445008070657417302817553476645084401512017""]",2026-04-25,2026-04-25,KXMLBGAME-26APR181420NYMCHC,KXMLBGAME-26APR181420NYMCHC-CHC,Cubs,New York M vs Chicago C Winner?,Mets; Cubs,2026-04-18,https://kalshi.com/markets/KXMLBGAME-26APR181420NYMCHC-CHC,2026-04-21T18:20:00Z,,
Baseball,MLB,high,cubs; mets,0,1958047,mets cubs,New York Mets,Mets; Cubs,2026-04-18,https://polymarket.com/event/mlb-nym-chc-2026-04-18,mlb-nym-chc-2026-04-18,https://polymarket.com/event/mlb-nym-chc-2026-04-18,"[""New York Mets"", ""Chicago Cubs""]","[""81248634727649318467591272713257103445008070657417302817553476645084401512017"", ""60967612972327772035005776129837017797273151786396677282064515645084178092689""]",2026-04-25,2026-04-25,KXMLBGAME-26APR181420NYMCHC,KXMLBGAME-26APR181420NYMCHC-NYM,Mets,New York M vs Chicago C Winner?,Mets; Cubs,2026-04-18,https://kalshi.com/markets/KXMLBGAME-26APR181420NYMCHC-NYM,2026-04-21T18:20:00Z,,
Baseball,MLB,high,guardians; orioles,0,1946760,orioles guardians,Baltimore Orioles,Orioles; Guardians,2026-04-17,https://polymarket.com/event/mlb-bal-cle-2026-04-17,mlb-bal-cle-2026-04-17,https://polymarket.com/event/mlb-bal-cle-2026-04-17,"[""Baltimore Orioles"", ""Cleveland Guardians""]","[""37859260822464119482127655568413343779129503910012975438989702658649786301229"", ""57743240512314636121732343826236013818155841123291370582144875914297721408288""]",2026-04-24,2026-04-24,KXMLBGAME-26APR171810BALCLE,KXMLBGAME-26APR171810BALCLE-BAL,Orioles,Baltimore vs Cleveland Winner?,Orioles; Guardians,2026-04-17,https://kalshi.com/markets/KXMLBGAME-26APR171810BALCLE-BAL,2026-04-20T14:00:00Z,,
