sport,league,confidence,shared_teams,days_apart,poly_market_id,poly_title,poly_outcome,poly_teams,poly_date,poly_url,poly_slug,poly_event_url,poly_outcomes,poly_token_ids,expiry_poly_utc,resolution_time,kalshi_event_ticker,kalshi_market_id,kalshi_outcome,kalshi_title,kalshi_teams,kalshi_date,kalshi_url,expiry_kalshi_utc,kalshi_t2_ticker,kalshi_tie_ticker
Soccer,Premier League,high,brentford; fulham,0,negrisk_345312,brentford fulham,Brentford FC,Brentford; Fulham,2026-04-18,https://polymarket.com/event/epl-bre-ful-2026-04-18,epl-bre-ful-2026-04-18,https://polymarket.com/event/epl-bre-ful-2026-04-18,"[""Brentford FC"", ""Fulham FC"", ""Draw""]","[""83798226397145698479379275861467818331332983204139040035772702581785473816432"", ""36851383528271802484884843699901868962833946476459635815329312765468273455419"", ""56881593151358210294452551244429400887222581916401248685196329584860468024846"", ""103741318075365634369416449383979796187548215647814877404088917283068585257553"", ""95550651752380466568400870144145355972665794311539616018179422541291953456597"", ""94949661999065460699400915270507656700144053260332270720193320490809191578252""]",2026-04-18,2026-04-18,KXEPLGAME-26APR18BREFUL,KXEPLGAME-26APR18BREFUL-BRE,Brentford,Brentford vs Fulham Winner?,Brentford; Fulham,2026-04-18,https://kalshi.com/markets/KXEPLGAME-26APR18BREFUL-BRE,2026-05-02T11:30:00Z,KXEPLGAME-26APR18BREFUL-FUL,KXEPLGAME-26APR18BREFUL-TIE
Soccer,Premier League,high,leeds united; wolverhampton,0,negrisk_345317,leeds united wolverhampton,Leeds United FC,Leeds United; Wolverhampton,2026-04-18,https://polymarket.com/event/epl-lee-wol-2026-04-18,epl-lee-wol-2026-04-18,https://polymarket.com/event/epl-lee-wol-2026-04-18,"[""Leeds United FC"", ""Wolverhampton Wanderers FC"", ""Draw""]","[""81000600636926194636154978157443318585538703324212402564755885156341260634221"", ""32636556585691162581662490614091628992482268197258295572760109526694532717386"", ""31179246273052513508938407776201498820966172093457407517384114736164654765049"", ""43237379532081202620135131804819364629921951171221543308582601003229365113165"", ""18556766165963663301140788824666526294291424602111656192077887854521441718453"", ""79251734313161920585462688108571910272092286054949008590501712054190686447956""]",2026-04-18,2026-04-18,KXEPLGAME-26APR18LEEWOL,KXEPLGAME-26APR18LEEWOL-LEE,Leeds United,Leeds United vs Wolverhampton Winner?,Leeds United; Wolverhampton,2026-04-18,https://kalshi.com/markets/KXEPLGAME-26APR18LEEWOL-LEE,2026-05-02T14:00:00Z,KXEPLGAME-26APR18LEEWOL-WOL,KXEPLGAME-26APR18LEEWOL-TIE
Soccer,Ligue 1,high,lille; nice,0,negrisk_345321,lille nice,Lille OSC,Lille; Nice,2026-04-18,https://polymarket.com/event/fl1-lil-ogc-2026-04-18,fl1-lil-ogc-2026-04-18,https://polymarket.com/event/fl1-lil-ogc-2026-04-18,"[""Lille OSC"", ""OGC Nice"", ""Draw""]","[""13175123948957993929180688862319512373505020125114084777461089056727936848067"", ""44865525689948201041725968247078454192108366657531249963777499553136205498007"", ""110201265192430363619971475870981254776863129543017809780644573478904481715086"", ""108689882342287580352869981578656358130326241006272661835032241654392159154617"", ""93711076872592418676381991037457745534303551333754610710448610880486511918074"", ""37493758877033848147498802836154381845834379572009024308769072466897368642785""]",2026-04-18,2026-04-18,KXLIGUE1GAME-26APR18LILNIC,KXLIGUE1GAME-26APR18LILNIC-LIL,Lille,Lille vs Nice Winner?,Lille; Nice,2026-04-18,https://kalshi.com/markets/KXLIGUE1GAME-26APR18LILNIC-LIL,2026-05-02T19:05:00Z,KXLIGUE1GAME-26APR18LILNIC-NIC,KXLIGUE1GAME-26APR18LILNIC-TIE
Soccer,Premier League,high,chelsea; manchester united,0,negrisk_345335,chelsea manchester united,Chelsea FC,Chelsea; Manchester United,2026-04-18,https://polymarket.com/event/epl-che-mun-2026-04-18,epl-che-mun-2026-04-18,https://polymarket.com/event/epl-che-mun-2026-04-18,"[""Chelsea FC"", ""Manchester United FC"", ""Draw""]","[""28224086740198970851967836465526292675874655791534426123202162654811574258925"", ""70337906894747482516375442744517059956336275670078093290843222415811375502021"", ""105116041894820492460411424760696845571488436120196970814836965007392208824042"", ""41764946490425733179850469583091118290437200575887159942942756382930668961631"", ""14960366750849052997352019208270571549142169256546646424427045993148444687384"", ""78247813872851386685685815011393661016766408900912722366433540683629520856626""]",2026-04-18,2026-04-18,KXEPLGAME-26APR18CFCMUN,KXEPLGAME-26APR18CFCMUN-CFC,,Chelsea vs Manchester United Winner?,Chelsea; Manchester United,2026-04-18,https://kalshi.com/markets/KXEPLGAME-26APR18CFCMUN-CFC,2026-05-02T19:00:00Z,KXEPLGAME-26APR18CFCMUN-MUN,KXEPLGAME-26APR18CFCMUN-TIE
Soccer,Ligue 1,high,lille; nice,0,1872529,lille nice,Yes,Lille; Nice,2026-04-18,https://polymarket.com/event/fl1-lil-ogc-2026-04-18-btts,fl1-lil-ogc-2026-04-18-btts,https://polymarket.com/event/fl1-lil-ogc-2026-04-18-btts,"[""Yes"", ""No""]","[""81369098644504048858627968835099387546584894253767087336241974186716898979802"", ""83043745873099391422493722846733091644759325408485860734642177409354231235378""]",2026-04-18,2026-04-18,KXLIGUE1BTTS-26APR18LILNIC,KXLIGUE1BTTS-26APR18LILNIC,,Nice at Lille: Both Teams to Score,Nice; Lille,2026-04-18,https://kalshi.com/markets/KXLIGUE1BTTS-26APR18LILNIC,2026-05-02T19:05:00Z,,
Soccer,Bundesliga,high,union berlin; wolfsburg,0,1872532,union berlin wolfsburg,Yes,Union Berlin; Wolfsburg,2026-04-18,https://polymarket.com/event/bun-uni-wol-2026-04-18-btts,bun-uni-wol-2026-04-18-btts,https://polymarket.com/event/bun-uni-wol-2026-04-18-btts,"[""Yes"", ""No""]","[""108795519812990187682568896312960187810921137459991693370721028426841869341557"", ""4466473911675653031212475931957272933327948212161572197617463330922790387448""]",2026-04-18,2026-04-18,KXBUNDESLIGABTTS-26APR18UNIWOB,KXBUNDESLIGABTTS-26APR18UNIWOB,,Wolfsburg at Union Berlin: Both Teams to Score,Wolfsburg; Union Berlin,2026-04-18,https://kalshi.com/markets/KXBUNDESLIGABTTS-26APR18UNIWOB,2026-05-02T13:30:00Z,,
Soccer,Premier League,high,chelsea; manchester united,0,1872535,chelsea manchester united,Yes,Chelsea; Manchester United,2026-04-18,https://polymarket.com/event/epl-che-mun-2026-04-18-btts,epl-che-mun-2026-04-18-btts,https://polymarket.com/event/epl-che-mun-2026-04-18-btts,"[""Yes"", ""No""]","[""81850145598907047875614909413491243343928198234050498022356231653171108098874"", ""54724469826134838342867948678337174932462304054892889523065655453602637068733""]",2026-04-18,2026-04-18,KXEPLBTTS-26APR18CFCMUN,KXEPLBTTS-26APR18CFCMUN,,Manchester United at Chelsea: Both Teams to Score,Manchester United; Chelsea,2026-04-18,https://kalshi.com/markets/KXEPLBTTS-26APR18CFCMUN,2026-05-02T19:00:00Z,,
Soccer,Bundesliga,high,augsburg; bayer leverkusen,0,1872563,bayer leverkusen augsburg,Yes,Bayer Leverkusen; Augsburg,2026-04-18,https://polymarket.com/event/bun-b04-aug-2026-04-18-btts,bun-b04-aug-2026-04-18-btts,https://polymarket.com/event/bun-b04-aug-2026-04-18-btts,"[""Yes"", ""No""]","[""102195888732928620353850064704419426894667091176575778003762967523875226487844"", ""59429289658005418336536623556132235172054988565797782790284443883264073646207""]",2026-04-18,2026-04-18,KXBUNDESLIGABTTS-26APR18LEVFCA,KXBUNDESLIGABTTS-26APR18LEVFCA,,Augsburg at Leverkusen: Both Teams to Score,Augsburg; Bayer Leverkusen,2026-04-18,https://kalshi.com/markets/KXBUNDESLIGABTTS-26APR18LEVFCA,2026-05-02T13:30:00Z,,
Soccer,Ligue 1,high,angers; le havre,0,1872564,angers le havre,Yes,Angers; Le Havre,2026-04-18,https://polymarket.com/event/fl1-ang-hac-2026-04-18-btts,fl1-ang-hac-2026-04-18-btts,https://polymarket.com/event/fl1-ang-hac-2026-04-18-btts,"[""Yes"", ""No""]","[""99577097457810246829545935805094411828374234605188241095123359802259668407846"", ""79931987888967103474270344570053261170168581992077011626392470520629689496985""]",2026-04-18,2026-04-18,KXLIGUE1BTTS-26APR18ANGHAC,KXLIGUE1BTTS-26APR18ANGHAC,,Le Havre at Angers: Both Teams to Score,Le Havre; Angers,2026-04-18,https://kalshi.com/markets/KXLIGUE1BTTS-26APR18ANGHAC,2026-05-02T17:00:00Z,,
Soccer,Premier League,high,leeds united; wolverhampton,0,1872664,leeds united wolverhampton,Yes,Leeds United; Wolverhampton,2026-04-18,https://polymarket.com/event/epl-lee-wol-2026-04-18-btts,epl-lee-wol-2026-04-18-btts,https://polymarket.com/event/epl-lee-wol-2026-04-18-btts,"[""Yes"", ""No""]","[""69937933090145108124992886638288777520525470159854630690488685875063515730924"", ""32150604733339675800756226672588857880054067816582059832524294018094782703850""]",2026-04-18,2026-04-18,KXEPLBTTS-26APR18LEEWOL,KXEPLBTTS-26APR18LEEWOL,,Wolverhampton at Leeds United: Both Teams to Score,Wolverhampton; Leeds United,2026-04-18,https://kalshi.com/markets/KXEPLBTTS-26APR18LEEWOL,2026-05-02T14:00:00Z,,
