pair_id,title_clean,category_tag,similarity_score,poly_market_id,poly_slug,poly_url,poly_event_url,poly_outcomes_json,poly_token_ids_json,poly_primary_outcome,kalshi_market_id,kalshi_url,expiry_poly_utc,expiry_kalshi_utc,resolution_time_utc
pair-0361,"Will Dricus Du Plessis be the UFC Middleweight Champion on December 31, 2026?",default,1.0,0xb5d08bd13d2124469dec2c445e427bcc92a22dd1deb71d95351ae22b3a2806f1,will-dricus-du-plessis-be-the-ufc-middleweight-champion-on-december-31-2026,https://polymarket.com/market/will-dricus-du-plessis-be-the-ufc-middleweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""107595323429060264803065909771983353858422288566768898445094796713448711745750"", ""38343641080220463036175630110467188882330864073906070036670211092423738500923""]",yes,KXUFCMIDDLEWEIGHTTITLE-26-DPLE,https://kalshi.com/markets/kxufcmiddleweighttitle-26/ufc-middleweight-title-holder-on-dec-31-2026/kxufcmiddleweighttitle-26-dple,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0362,"Will Israel Adesanya be the UFC Middleweight Champion on December 31, 2026?",default,1.0,0x6d0d9932221ce4b85c6152bbd0150c2cafe6a11890b1cae2e911813dcaaf599d,will-israel-adesanya-be-the-ufc-middleweight-champion-on-december-31-2026,https://polymarket.com/market/will-israel-adesanya-be-the-ufc-middleweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""32700263518439142283056298261342719031623677014374611358181795167960765812422"", ""81107047787725967556552186542074780377903927295190221044059251288455288294978""]",yes,KXUFCMIDDLEWEIGHTTITLE-26-IADE,https://kalshi.com/markets/kxufcmiddleweighttitle-26/ufc-middleweight-title-holder-on-dec-31-2026/kxufcmiddleweighttitle-26-iade,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0363,"Will Anthony Hernandez be the UFC Middleweight Champion on December 31, 2026?",default,1.0,0x3a76e5c182ddf657efd84b114c86d69f3f2ab31fd23630dffadd07940b9463b2,will-anthony-hernandez-be-the-ufc-middleweight-champion-on-december-31-2026,https://polymarket.com/market/will-anthony-hernandez-be-the-ufc-middleweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""82417229838217988408749209417452416612346790981048524827059563714784928418420"", ""59023860792526078338758330750022839791419361441803110779804266766624335664863""]",yes,KXUFCMIDDLEWEIGHTTITLE-26-AHER,https://kalshi.com/markets/kxufcmiddleweighttitle-26/ufc-middleweight-title-holder-on-dec-31-2026/kxufcmiddleweighttitle-26-aher,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0364,"Will Reinier de Ridder be the UFC Middleweight Champion on December 31, 2026?",default,1.0,0xc5d95d18b267894cd118b5eabe28a232a6c0420f100140789004215c048281d3,will-reinier-de-ridder-be-the-ufc-middleweight-champion-on-december-31-2026,https://polymarket.com/market/will-reinier-de-ridder-be-the-ufc-middleweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""36783814494052597301061717493672407699334471478264929067040585720930032594082"", ""17639646226115431210781615051010918333344289241463098191643868885090323547669""]",yes,KXUFCMIDDLEWEIGHTTITLE-26-RRID,https://kalshi.com/markets/kxufcmiddleweighttitle-26/ufc-middleweight-title-holder-on-dec-31-2026/kxufcmiddleweighttitle-26-rrid,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0365,"Will Azamat Murzakanov be the UFC Light Heavyweight Champion on December 31, 2026?",default,1.0,0x933a64c5f3678f5b75ceaa2c8b0ffff1aca5ce474779ee6fe8f22491864d1216,will-azamat-murzakanov-be-the-ufc-light-heavyweight-champion-on-december-31-2026,https://polymarket.com/market/will-azamat-murzakanov-be-the-ufc-light-heavyweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""9175342821341872652126886333178051405776731769977201689886601378721240647673"", ""47990855057638439475956560470229292385728237851928016638796473207431513827829""]",yes,KXUFCLHEAVYWEIGHTTITLE-26-AMUR,https://kalshi.com/markets/kxufclheavyweighttitle-26/ufc-light-heavyweight-title-on-dec-31-2026/kxufclheavyweighttitle-26-amur,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0366,"Will Carlos Ulberg be the UFC Light Heavyweight Champion on December 31, 2026?",default,1.0,0xaa034dc646a0fd4b6ae5c1d467485255acf4739754a7e7a90b6dc304df2176ca,will-carlos-ulberg-be-the-ufc-light-heavyweight-champion-on-december-31-2026,https://polymarket.com/market/will-carlos-ulberg-be-the-ufc-light-heavyweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""74347223216860712312233049603557491866586362552346047170906157427988625147649"", ""81246341117576159919071234423173802934463940597825860607382087524216381659188""]",yes,KXUFCLHEAVYWEIGHTTITLE-26-CULB,https://kalshi.com/markets/kxufclheavyweighttitle-26/ufc-light-heavyweight-title-on-dec-31-2026/kxufclheavyweighttitle-26-culb,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0367,"Will Jiří Procházka be the UFC Light Heavyweight Champion on December 31, 2026?",default,1.0,0xb5fb2b79ca615bd9c27e150a00f7ca8038a8864cf778b39ac407f5c3a10e4b37,will-ji-prochzka-be-the-ufc-light-heavyweight-champion-on-december-31-2026,https://polymarket.com/market/will-ji-prochzka-be-the-ufc-light-heavyweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""33535761066992399595703241564195091306139412330110625045869489003498121843144"", ""26145495454648977896003540856521792238673331076228160930077309185439590450701""]",yes,KXUFCLHEAVYWEIGHTTITLE-26-JPRO,https://kalshi.com/markets/kxufclheavyweighttitle-26/ufc-light-heavyweight-title-on-dec-31-2026/kxufclheavyweighttitle-26-jpro,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0368,"Will Alex Pereira be the UFC Light Heavyweight Champion on December 31, 2026?",default,1.0,0x9f314704922e731188b1c4841bb597a28b8965fb029ebe733132aec0d8b1ecec,will-alex-pereira-be-the-ufc-light-heavyweight-champion-on-december-31-2026,https://polymarket.com/market/will-alex-pereira-be-the-ufc-light-heavyweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""52554701969138464785613610809736427872991295310488292214422253543962862833134"", ""98277867237690789532946636812756522757836305131809048244507750523532940672821""]",yes,KXUFCLHEAVYWEIGHTTITLE-26-APER,https://kalshi.com/markets/kxufclheavyweighttitle-26/ufc-light-heavyweight-title-on-dec-31-2026/kxufclheavyweighttitle-26-aper,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0369,"Will Jamahal Hill be the UFC Light Heavyweight Champion on December 31, 2026?",default,1.0,0x515be3fc2472c5ca713b78fe5b5ba9118c892e07f041cc809581257dcfef7891,will-jamahal-hill-be-the-ufc-light-heavyweight-champion-on-december-31-2026,https://polymarket.com/market/will-jamahal-hill-be-the-ufc-light-heavyweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""39015979181504446951939846333503005925423158846867563543816445245790000389414"", ""112517657661236142240520884915113849351672685371528739480793945515254109285183""]",yes,KXUFCLHEAVYWEIGHTTITLE-26-JHIL,https://kalshi.com/markets/kxufclheavyweighttitle-26/ufc-light-heavyweight-title-on-dec-31-2026/kxufclheavyweighttitle-26-jhil,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
pair-0370,"Will Khalil Rountree Jr. be the UFC Light Heavyweight Champion on December 31, 2026?",default,1.0,0x6bb8773885be53846bfc4c823180338fe7e073cef888bd47fba4e5a7604d6bd3,will-khalil-rountree-jr-be-the-ufc-light-heavyweight-champion-on-december-31-2026,https://polymarket.com/market/will-khalil-rountree-jr-be-the-ufc-light-heavyweight-champion-on-december-31-2026,,"[""Yes"", ""No""]","[""86173756424106091768251257271361907166488157621575169496226209747989908974691"", ""8081200171091071374922294809460189942697840377906335191134665747842203010015""]",yes,KXUFCLHEAVYWEIGHTTITLE-26-KROU,https://kalshi.com/markets/kxufclheavyweighttitle-26/ufc-light-heavyweight-title-on-dec-31-2026/kxufclheavyweighttitle-26-krou,2026-12-31T00:00:00Z,2026-12-31T17:00:00Z,2026-12-31T17:00:00Z
